,ticker,compound
0,AAPL,0.023412000000000002
1,AMZN,0.09612399999999999
2,BNTX,0.043093000000000006
3,GOOG,0.055381
4,KO,0.215596
5,META,-0.08671799999999999
6,MSFT,0.110959
7,NKE,0.145414
8,NVDA,0.131803
9,PYPL,0.10813700000000001
10,SAP,0.172704
11,TSLA,-0.005186
